,time,open,high,low,close,tick_volume,spread,real_volume
292,1675253580,1.08867,1.08874,1.08855,1.08872,55,5,0
293,1675253640,1.08872,1.08888,1.08853,1.08854,72,1,0
294,1675253700,1.08854,1.08864,1.08847,1.08854,41,7,0
295,1675253760,1.08854,1.08854,1.08836,1.0884,55,6,0
296,1675253820,1.0884,1.08844,1.08828,1.08843,50,6,0
297,1675253880,1.08843,1.08844,1.08834,1.0884,36,8,0
298,1675253940,1.0884,1.0884,1.08832,1.08833,31,8,0
299,1675254000,1.08833,1.08838,1.08826,1.08827,45,5,0
300,1675254060,1.08827,1.08828,1.08807,1.08809,65,6,0
301,1675254120,1.08809,1.0881,1.08805,1.08805,28,6,0
302,1675254180,1.08812,1.0882,1.08809,1.08818,34,5,0
303,1675254240,1.08818,1.08829,1.08816,1.08827,44,8,0
304,1675254300,1.08827,1.08863,1.08827,1.08861,59,6,0
305,1675254360,1.08861,1.08864,1.08859,1.08864,17,8,0
306,1675254420,1.08864,1.08873,1.08861,1.08865,42,6,0
307,1675254480,1.08865,1.08877,1.0886,1.08869,51,6,0
308,1675254540,1.08865,1.08865,1.08843,1.08851,59,7,0
309,1675254600,1.08851,1.08869,1.0885,1.08864,51,5,0
310,1675254660,1.08864,1.08872,1.08862,1.0887,26,7,0
311,1675254720,1.08873,1.08874,1.08865,1.0887,14,9,0
312,1675254780,1.0887,1.08881,1.0887,1.08879,23,5,0
313,1675254840,1.08878,1.08879,1.0886,1.08861,28,7,0
314,1675254900,1.0886,1.08863,1.08855,1.08861,25,5,0
315,1675254960,1.08861,1.08881,1.08861,1.0887,51,8,0
316,1675255020,1.08873,1.08875,1.08865,1.08871,42,7,0
317,1675255080,1.0887,1.08871,1.08849,1.08854,64,7,0
318,1675255140,1.08854,1.08864,1.08846,1.08863,43,7,0
319,1675255200,1.08863,1.08884,1.0886,1.08884,39,7,0
320,1675255260,1.08884,1.08891,1.08881,1.08885,32,5,0
321,1675255320,1.08885,1.0889,1.08885,1.08886,25,8,0
322,1675255380,1.08886,1.08886,1.08869,1.0887,63,8,0
323,1675255440,1.0887,1.08875,1.08867,1.08874,33,7,0
324,1675255500,1.08874,1.08894,1.08872,1.08888,35,6,0
325,1675255560,1.08887,1.08888,1.08874,1.08874,55,6,0
326,1675255620,1.08874,1.08874,1.08845,1.08854,37,0,0
327,1675255680,1.08854,1.08864,1.08854,1.08861,14,6,0
328,1675255740,1.0886,1.08862,1.08849,1.08851,30,5,0
329,1675255800,1.08851,1.08879,1.08851,1.08879,45,7,0
330,1675255860,1.08879,1.08901,1.08879,1.08895,44,8,0
331,1675255920,1.08895,1.0893,1.08895,1.08928,50,5,0
332,1675255980,1.08928,1.08932,1.08911,1.08911,48,6,0
